# Time (s),Acceleration (g)
19.14,-0.013867920
19.16,-0.032936308
19.18,-0.029673269
19.20,-0.029265390
19.22,-0.030998879
19.24,-0.034567830
19.26,-0.024982649
19.28,-0.007749720
19.30,0.012746250
19.32,0.038340717
19.34,0.040991939
19.36,0.024982649
19.38,0.015907320
19.40,-0.004078800
19.42,-0.015601410
19.44,-0.029469329
19.46,-0.032222519
19.48,-0.011318670
19.50,0.009585179
19.52,0.034159949
19.54,0.058734716
19.56,0.043235280
19.58,0.014581710
19.60,-0.000713790
19.62,-0.013765950
19.64,-0.027531899
19.66,-0.034771767
19.68,-0.036403290
19.70,-0.040380117
19.72,-0.040991939
19.74,-0.049761357
19.76,-0.048945598
19.78,-0.041399817
19.80,-0.041501789
19.82,-0.035791467
19.84,-0.019068390
19.86,-0.005812290
19.88,0.004486680
19.90,-0.001937430
19.92,-0.007341840
19.94,-0.017232929
19.96,-0.011726550
19.98,0.012848220
20.00,0.036505258
20.02,0.066688379
20.04,0.073010516
20.06,0.077701134
20.08,0.075355829
20.10,0.064037157
20.12,0.049353480
20.14,0.026920079
20.16,-0.004486680
20.18,-0.029367358
20.20,-0.039156480
20.22,-0.050169239
20.24,-0.043643158
20.26,-0.042419517
20.28,-0.028143719
20.30,-0.005302440
20.32,0.024166890
20.34,0.043439217
20.36,0.061589879
20.38,0.046090439
20.40,0.028959479
20.42,0.012848220
20.44,-0.005506380
20.46,-0.028041749
20.48,-0.043133308
20.50,-0.017844749
20.52,0.000101970
20.54,0.025900379
20.56,0.049047567
20.58,0.065362766
20.60,0.056491380
20.62,0.042113608
20.64,0.018762479
20.66,-0.004894560
20.68,-0.030896908
20.70,-0.054146067
20.72,-0.072194761
20.74,-0.094628160
20.76,-0.088000110
20.78,-0.064343066
20.80,-0.038340717
20.82,0.008871390
20.84,0.031508729
20.86,0.060060329
20.88,0.062609579
20.90,0.039258449
20.92,0.035791467
20.94,0.031712669
20.96,0.025084620
20.98,0.001937430
21.00,-0.020190059
21.02,-0.016111260
21.04,-0.001529550
21.06,0.010095029
21.08,0.029163419
21.10,0.041603758
21.12,0.057409107
21.14,0.054146067
21.16,0.032018579
21.18,0.016825049
21.20,-0.002447280
21.22,-0.019272329
21.24,-0.028143719
21.26,-0.037830867
21.28,-0.045886498
21.30,-0.054451980
21.32,-0.049251508
21.34,-0.038646630
21.36,-0.030183119
21.38,-0.019986120
21.40,-0.018762479
21.42,-0.016213229
21.44,-0.012134429
21.46,-0.005404410
21.48,0.000203940
21.50,0.006016230
21.52,-0.002345310
21.54,-0.011420639
21.56,-0.020903849
21.58,-0.032834340
21.60,-0.039564358
21.62,-0.034771767
21.64,-0.029265390
21.66,-0.033446158
21.68,-0.041501789
21.70,-0.049659389
21.72,-0.057409107
21.74,-0.065668679
21.76,-0.056593348
21.78,-0.045478617
21.80,-0.000815760
21.82,0.025798408
21.84,0.041909667
21.86,0.065668679
21.88,0.059040630
21.90,0.048333780
21.92,0.039156480
21.94,0.039258449
21.96,0.034669799
21.98,0.036403290
22.00,0.000815760
22.02,-0.025900379
22.04,-0.046906198
22.06,-0.048027867
22.08,-0.022637340
22.10,-0.006628050
22.12,0.016723079
22.14,0.036199349
22.16,0.051392880
22.18,0.037830867
22.20,0.028551599
22.22,0.016111260
22.24,0.004180770
22.26,-0.002753190
22.28,0.002141370
22.30,0.004486680
22.32,0.010095029
22.34,0.013765950
22.36,0.009585179
22.38,0.005914260
22.40,0.002243340
22.42,-0.003161070
22.44,-0.003161070
22.46,0.000407880
22.48,-0.002549250
22.50,-0.012644279
22.52,-0.023962949
22.54,-0.041399817
22.56,-0.054044098
22.58,-0.071480966
22.60,-0.032936308
22.62,-0.005302440
22.64,0.009585179
22.66,0.033446158
22.68,0.048741658
22.70,0.051902730
22.72,0.036505258
22.74,0.034873740
22.76,0.031202819
22.78,0.029061449
22.80,0.026818108
22.82,0.017130959
22.84,-0.000509850
22.86,-0.021617640
22.88,-0.037219049
22.90,-0.031610699
22.92,-0.030285090
22.94,-0.028551599
22.96,-0.024166890
22.98,-0.027124019
23.00,-0.031406758
23.02,-0.037321017
23.04,-0.036403290
23.06,-0.031406758
23.08,-0.019680209
23.10,0.001937430
23.12,0.019986120
23.14,0.016315199
23.16,0.013154129
23.18,0.014275800
23.20,0.011216700
23.22,0.011012760
23.24,0.009381240
23.26,0.009075329
23.28,0.001937430
23.30,-0.013358070
23.32,-0.025186590
23.34,-0.044458917
23.36,-0.044051039
23.38,-0.030590999
23.40,-0.019578240
23.42,-0.004894560
23.44,0.009891090
23.46,0.017130959
23.48,0.015091560
23.50,0.017640809
23.52,0.007953660
23.54,-0.005914260
23.56,-0.021923549
23.58,-0.023860979
23.60,0.006118200
23.62,0.026716140
23.64,0.027429929
23.66,0.008565479
23.68,-0.004180770
23.70,-0.023147190
23.72,-0.007749720
23.74,0.003161070
23.76,0.018558540
23.78,0.031610699
23.80,0.048843630
23.82,0.046804230
23.84,0.016927020
23.86,-0.005914260
23.88,-0.040380117
23.90,-0.045274680
23.92,-0.024574770
23.94,-0.010298970
23.96,0.022127490
23.98,0.026614169
24.00,0.012338370
24.02,0.000815760
24.04,-0.017130959
24.06,-0.038952539
24.08,-0.057715016
24.10,-0.079638566
24.12,-0.063119429
24.14,-0.026104319
24.16,0.004486680
24.18,0.046498317
24.20,0.079842510
24.22,0.112167000
24.24,0.097177410
24.26,0.049863330
24.28,0.012440339
24.30,-0.039462389
24.32,-0.086266615
24.34,-0.125423100
24.36,-0.088102079
24.38,-0.062813516
24.40,-0.023249158
24.42,0.015295499
24.44,0.048639689
24.46,0.032936308
24.48,0.025288558
24.50,0.009687150
24.52,0.023147190
24.54,0.034465858
24.56,0.051494848
24.58,0.060570179
24.60,0.052922430
24.62,0.056287439
24.64,0.060672148
24.66,0.062915489
24.68,0.060468207
24.70,0.047518017
24.72,0.016111260
24.74,-0.007851690
24.76,-0.023453099
24.78,-0.030896908
24.80,-0.033548130
24.82,-0.037117080
24.84,-0.049965298
24.86,-0.067300198
24.88,-0.073724311
24.90,-0.079944479
24.92,-0.086266615
24.94,-0.057715016
24.96,-0.021311729
24.98,0.013052160
25.00,0.038850567
25.02,0.049761357
25.04,0.037015108
25.06,0.025492499
25.08,0.016111260
25.10,0.038442689
25.12,0.060570179
25.14,0.064241098
