# Time (s),Acceleration (g)
3.50000000,-0.01676107
3.51000000,-0.01675654
3.52000000,-0.01675266
3.53000000,-0.01676107
3.54000000,-0.01676624
3.55000000,-0.01675590
3.56000000,-0.01674749
3.57000000,-0.01675331
3.58000000,-0.01676559
3.59000000,-0.01677852
3.60000000,-0.01677982
3.61000000,-0.01676365
3.62000000,-0.01675266
3.63000000,-0.01675460
3.64000000,-0.01676365
3.65000000,-0.01677271
3.66000000,-0.01677723
3.67000000,-0.01678564
3.68000000,-0.01678758
3.69000000,-0.01677077
3.70000000,-0.01674814
3.71000000,-0.01672810
3.72000000,-0.01673068
3.73000000,-0.01675525
3.74000000,-0.01676947
3.75000000,-0.01677206
3.76000000,-0.01676171
3.77000000,-0.01675331
3.78000000,-0.01675331
3.79000000,-0.01673715
3.80000000,-0.01673909
3.81000000,-0.01677594
3.82000000,-0.01679727
3.83000000,-0.01679404
3.84000000,-0.01677982
3.85000000,-0.01676301
3.86000000,-0.01676365
3.87000000,-0.01676883
3.88000000,-0.01675784
3.89000000,-0.01673779
3.90000000,-0.01673973
3.91000000,-0.01675331
3.92000000,-0.01674426
3.93000000,-0.01674232
3.94000000,-0.01676107
3.95000000,-0.01677529
3.96000000,-0.01677788
3.97000000,-0.01676753
3.98000000,-0.01677335
3.99000000,-0.01679598
4.00000000,-0.01678952
4.01000000,-0.01677465
4.02000000,-0.01676301
4.03000000,-0.01673779
4.04000000,-0.01672098
4.05000000,-0.01672745
4.06000000,-0.01675202
4.07000000,-0.01677658
4.08000000,-0.01678111
4.09000000,-0.01677852
4.10000000,-0.01677917
4.11000000,-0.01678046
4.12000000,-0.01677335
4.13000000,-0.01674749
4.14000000,-0.01672810
4.15000000,-0.01672745
4.16000000,-0.01674167
4.17000000,-0.01676430
4.18000000,-0.01677465
4.19000000,-0.01677852
4.20000000,-0.01677465
4.21000000,-0.01675331
4.22000000,-0.01673197
4.23000000,-0.01672874
4.24000000,-0.01675784
4.25000000,-0.01679663
4.26000000,-0.01680632
4.27000000,-0.01680309
4.28000000,-0.01679210
4.29000000,-0.01676301
4.30000000,-0.01673585
4.31000000,-0.01672292
4.32000000,-0.01673521
4.33000000,-0.01676818
4.34000000,-0.01679145
4.35000000,-0.01680568
4.36000000,-0.01680568
4.37000000,-0.01678434
4.38000000,-0.01675008
4.39000000,-0.01670676
4.40000000,-0.01668866
4.41000000,-0.01671387
4.42000000,-0.01675460
4.43000000,-0.01677917
4.44000000,-0.01678628
4.45000000,-0.01679210
4.46000000,-0.01678952
4.47000000,-0.01677012
4.48000000,-0.01675784
4.49000000,-0.01675008
4.50000000,-0.01673585
4.51000000,-0.01672745
4.52000000,-0.01673391
4.53000000,-0.01675913
4.54000000,-0.01677723
4.55000000,-0.01677594
4.56000000,-0.01678240
4.57000000,-0.01678887
4.58000000,-0.01677658
4.59000000,-0.01675331
4.60000000,-0.01672874
4.61000000,-0.01673004
4.62000000,-0.01676236
4.63000000,-0.01678758
4.64000000,-0.01679339
4.65000000,-0.01678693
4.66000000,-0.01677141
4.67000000,-0.01676301
4.68000000,-0.01675978
4.69000000,-0.01675137
4.70000000,-0.01674620
4.71000000,-0.01674684
4.72000000,-0.01675331
4.73000000,-0.01677141
4.74000000,-0.01678240
4.75000000,-0.01678046
4.76000000,-0.01677594
4.77000000,-0.01675978
4.78000000,-0.01673327
4.79000000,-0.01672486
4.80000000,-0.01673779
4.81000000,-0.01674814
4.82000000,-0.01675913
4.83000000,-0.01677465
4.84000000,-0.01677852
4.85000000,-0.01677529
4.86000000,-0.01677658
4.87000000,-0.01676624
4.88000000,-0.01675590
4.89000000,-0.01675848
4.90000000,-0.01676107
4.91000000,-0.01676171
4.92000000,-0.01676689
4.93000000,-0.01676689
4.94000000,-0.01674620
4.95000000,-0.01671840
4.96000000,-0.01672228
4.97000000,-0.01676624
4.98000000,-0.01681538
4.99000000,-0.01682637
5.00000000,-0.01679210
5.01000000,-0.01675590
5.02000000,-0.01674943
5.03000000,-0.01674297
5.04000000,-0.01672292
5.05000000,-0.01671129
5.06000000,-0.01671258
5.07000000,-0.01673650
5.08000000,-0.01678370
5.09000000,-0.01681667
5.10000000,-0.01681538
5.11000000,-0.01678887
5.12000000,-0.01675331
5.13000000,-0.01672680
5.14000000,-0.01672745
5.15000000,-0.01675719
5.16000000,-0.01679081
5.17000000,-0.01679145
5.18000000,-0.01676495
5.19000000,-0.01674426
5.20000000,-0.01673844
5.21000000,-0.01673973
5.22000000,-0.01674814
5.23000000,-0.01675460
5.24000000,-0.01676107
5.25000000,-0.01677658
5.26000000,-0.01678887
5.27000000,-0.01677982
5.28000000,-0.01675848
5.29000000,-0.01675072
5.30000000,-0.01675590
5.31000000,-0.01675848
5.32000000,-0.01676236
5.33000000,-0.01677206
5.34000000,-0.01677723
5.35000000,-0.01677206
5.36000000,-0.01675913
5.37000000,-0.01674878
5.38000000,-0.01674555
