# Time (s),Acceleration (g)
9.14000000,-0.02007061
9.15000000,-0.02008225
9.16000000,-0.02011522
9.17000000,-0.02014238
9.18000000,-0.02012169
9.19000000,-0.02005639
9.20000000,-0.02000273
9.21000000,-0.02000079
9.22000000,-0.02002729
9.23000000,-0.02004992
9.24000000,-0.02007772
9.25000000,-0.02010358
9.26000000,-0.02010035
9.27000000,-0.02007643
9.28000000,-0.02004669
9.29000000,-0.02002600
9.30000000,-0.02003182
9.31000000,-0.02004540
9.32000000,-0.02006609
9.33000000,-0.02010229
9.34000000,-0.02010617
9.35000000,-0.02006544
9.36000000,-0.02004475
9.37000000,-0.02006350
9.38000000,-0.02007837
9.39000000,-0.02007126
9.40000000,-0.02006027
9.41000000,-0.02005445
9.42000000,-0.02005251
9.43000000,-0.02004798
9.44000000,-0.02003053
9.45000000,-0.02002277
9.46000000,-0.02004410
9.47000000,-0.02008031
9.48000000,-0.02011134
9.49000000,-0.02011910
9.50000000,-0.02010294
9.51000000,-0.02009195
9.52000000,-0.02008548
9.53000000,-0.02006609
9.54000000,-0.02004023
9.55000000,-0.02000855
9.56000000,-0.01998462
9.57000000,-0.02000208
9.58000000,-0.02004604
9.59000000,-0.02008225
9.60000000,-0.02011716
9.61000000,-0.02013850
9.62000000,-0.02011005
9.63000000,-0.02005703
9.64000000,-0.02002600
9.65000000,-0.02002277
9.66000000,-0.02005703
9.67000000,-0.02011134
9.68000000,-0.02010876
9.69000000,-0.02005897
9.70000000,-0.02005122
9.71000000,-0.02006673
9.72000000,-0.02006738
9.73000000,-0.02007449
9.74000000,-0.02006803
9.75000000,-0.02003505
9.76000000,-0.02002148
9.77000000,-0.02003376
9.78000000,-0.02004863
9.79000000,-0.02007514
9.80000000,-0.02010164
9.81000000,-0.02011328
9.82000000,-0.02011975
9.83000000,-0.02010358
9.84000000,-0.02004669
9.85000000,-0.01998139
9.86000000,-0.01995165
9.87000000,-0.01998527
9.88000000,-0.02007320
9.89000000,-0.02015207
9.90000000,-0.02016112
9.91000000,-0.02010746
9.92000000,-0.02004023
9.93000000,-0.02000079
9.94000000,-0.02000725
9.95000000,-0.02006221
9.96000000,-0.02013462
9.97000000,-0.02016242
9.98000000,-0.02011522
9.99000000,-0.02004475
10.00000000,-0.02000855
10.01000000,-0.01999238
10.02000000,-0.01997687
10.03000000,-0.02000661
10.04000000,-0.02009389
10.05000000,-0.02015660
10.06000000,-0.02015466
10.07000000,-0.02011910
10.08000000,-0.02007320
10.09000000,-0.02003053
10.10000000,-0.02000467
10.11000000,-0.02000919
10.12000000,-0.02005768
10.13000000,-0.02010940
10.14000000,-0.02009841
10.15000000,-0.02004281
10.16000000,-0.02000919
10.17000000,-0.02000855
10.18000000,-0.02002729
10.19000000,-0.02006609
10.20000000,-0.02010746
10.21000000,-0.02012104
10.22000000,-0.02009712
10.23000000,-0.02006091
10.24000000,-0.02003829
10.25000000,-0.02003311
10.26000000,-0.02004410
10.27000000,-0.02007126
10.28000000,-0.02009971
10.29000000,-0.02010552
10.30000000,-0.02008484
10.31000000,-0.02005122
10.32000000,-0.02003247
10.33000000,-0.02005057
10.34000000,-0.02007449
10.35000000,-0.02007255
10.36000000,-0.02006738
10.37000000,-0.02007061
10.38000000,-0.02007514
10.39000000,-0.02007384
10.40000000,-0.02005639
10.41000000,-0.02002536
10.42000000,-0.02000402
10.43000000,-0.02001307
10.44000000,-0.02004863
10.45000000,-0.02009841
10.46000000,-0.02013656
10.47000000,-0.02011134
10.48000000,-0.02003376
10.49000000,-0.01997945
10.50000000,-0.01997945
10.51000000,-0.02003117
10.52000000,-0.02009001
10.53000000,-0.02010358
10.54000000,-0.02010035
10.55000000,-0.02009647
10.56000000,-0.02006221
10.57000000,-0.02002277
10.58000000,-0.02003247
10.59000000,-0.02009583
10.60000000,-0.02014302
10.61000000,-0.02013009
10.62000000,-0.02008484
10.63000000,-0.02002859
10.64000000,-0.01998204
10.65000000,-0.01998786
10.66000000,-0.02003247
10.67000000,-0.02006415
10.68000000,-0.02007384
10.69000000,-0.02008225
10.70000000,-0.02009324
10.71000000,-0.02010423
